ticker,announce_date,announce_hour,eps_est,eps_act
AMD,2025-08-05,16.0,0.48,0.48
AMD,2025-05-06,16.0,0.93,0.96
AMD,2025-02-04,16.0,1.09,1.09
AMD,2024-10-29,16.0,0.92,0.92
AMD,2024-07-30,16.0,0.68,0.69
AMD,2024-04-30,16.0,0.61,0.62
AMD,2024-01-30,16.0,0.77,0.77
AMD,2023-10-31,16.0,0.68,0.7
AMD,2023-08-01,16.0,0.57,0.58
AMD,2023-05-02,16.0,0.56,0.6
AMD,2023-01-31,16.0,0.67,0.69
AMD,2022-11-01,16.0,0.7,0.67
AMD,2022-08-02,16.0,1.04,1.05
AMD,2022-05-03,16.0,0.92,1.13
AMD,2022-02-01,16.0,0.76,0.92
AMD,2021-10-26,16.0,0.66,0.73
AMD,2021-07-27,16.0,0.54,0.63
AMD,2021-04-27,16.0,0.44,0.52
AMD,2021-01-26,16.0,0.48,0.52
AMD,2020-10-27,6.0,0.36,0.41
AMD,2020-07-28,16.0,0.17,0.18
AMD,2020-04-28,17.0,0.18,0.18
AMD,2020-01-28,16.0,0.31,0.32
AMD,2019-10-29,16.0,0.18,0.18
AMD,2019-07-30,16.0,0.08,0.08
AMD,2019-04-30,16.0,0.06,0.06
AMD,2019-01-29,16.0,0.08,0.08
AMD,2018-10-24,16.0,0.12,0.13
AMD,2018-07-25,16.0,0.13,0.14
AMD,2018-04-25,16.0,0.09,0.11
AMD,2018-01-30,16.0,0.05,0.08
AMD,2017-10-24,16.0,0.08,0.1
AMD,2017-07-25,16.0,,0.02
AMD,2017-05-01,16.0,-0.04,-0.04
AMD,2017-01-31,16.0,-0.02,-0.01
AMD,2016-10-20,16.0,,0.03
AMD,2016-07-21,16.0,-0.09,-0.05
AMD,2016-04-21,16.0,-0.13,-0.12
AMD,2016-01-19,16.0,-0.1,-0.1
AMD,2015-10-15,16.0,-0.12,-0.17
AMD,2015-07-16,16.0,-0.16,-0.17
AMD,2015-04-16,16.0,-0.06,-0.09
AMD,2015-01-20,16.0,0.01,
AMD,2014-10-16,16.0,0.04,0.03
AMD,2014-07-17,16.0,0.03,0.02
QCOM,2026-11-04,15.0,2.16,
QCOM,2026-07-29,16.0,2.22,2.21
QCOM,2026-04-29,16.0,2.56,2.65
QCOM,2026-02-04,16.0,3.4,3.5
QCOM,2025-11-05,16.0,2.88,3.0
QCOM,2025-07-30,16.0,2.71,2.77
QCOM,2025-04-30,16.0,2.82,2.85
QCOM,2025-02-05,16.0,2.99,3.41
QCOM,2024-11-06,16.0,2.57,2.69
QCOM,2024-07-31,16.0,2.26,2.33
QCOM,2024-05-01,16.0,2.32,2.44
QCOM,2024-01-31,16.0,2.37,2.75
QCOM,2023-11-01,16.0,1.91,2.02
QCOM,2023-08-02,16.0,1.81,1.87
QCOM,2023-05-03,16.0,2.16,2.15
QCOM,2023-02-02,16.0,2.35,2.37
QCOM,2022-11-02,16.0,3.13,3.13
QCOM,2022-07-27,16.0,2.87,2.96
QCOM,2022-04-27,16.0,2.92,3.21
QCOM,2022-02-02,16.0,3.0,3.23
QCOM,2021-11-03,16.0,2.26,2.55
QCOM,2021-07-28,16.0,1.68,1.92
QCOM,2021-04-28,2.0,1.67,1.9
QCOM,2021-02-03,16.0,2.1,2.17
QCOM,2020-11-04,16.0,1.18,1.45
QCOM,2020-07-29,16.0,0.71,0.86
QCOM,2020-04-29,16.0,0.8,0.88
QCOM,2020-02-05,16.0,0.85,0.99
QCOM,2019-11-06,16.0,0.71,0.78
QCOM,2019-07-31,16.0,0.77,0.8
QCOM,2019-05-01,16.0,0.71,0.77
QCOM,2019-01-30,16.0,1.09,1.2
QCOM,2018-11-07,17.0,0.83,0.9
QCOM,2018-07-25,16.0,0.71,0.75
QCOM,2018-04-25,16.0,0.7,0.8
QCOM,2018-01-31,16.0,0.91,0.98
QCOM,2017-11-01,17.0,0.81,0.92
QCOM,2017-07-19,16.0,0.81,0.83
QCOM,2017-04-19,16.0,1.2,1.34
QCOM,2017-01-25,16.0,1.18,1.19
QCOM,2016-11-02,16.0,1.11,1.28
QCOM,2016-07-20,12.0,0.97,1.16
QCOM,2016-04-20,16.0,0.96,1.04
QCOM,2016-01-27,16.0,0.91,0.97
QCOM,2015-11-04,16.0,0.86,0.91
QCOM,2015-07-22,16.0,0.95,0.99
QCOM,2015-04-22,16.0,1.33,1.4
QCOM,2015-01-28,16.0,1.25,1.34
QCOM,2014-11-05,16.0,1.31,1.26
QCOM,2014-07-23,16.0,1.21,1.44
GOOGL,2026-10-28,16.0,3.02,
GOOGL,2026-07-22,16.0,2.9,9.11
GOOGL,2026-04-29,16.0,2.63,5.11
GOOGL,2026-02-04,16.0,2.64,2.82
GOOGL,2025-10-29,16.0,2.26,2.87
GOOGL,2025-07-23,16.0,2.19,2.31
GOOGL,2025-04-24,16.0,2.01,2.81
GOOGL,2025-02-04,16.0,2.13,2.15
GOOGL,2024-10-29,16.0,1.85,2.12
GOOGL,2024-07-23,16.0,1.84,1.89
GOOGL,2024-04-25,16.0,1.51,1.89
GOOGL,2024-01-30,16.0,1.6,1.64
GOOGL,2023-10-24,16.0,1.45,1.55
GOOGL,2023-07-25,16.0,1.34,1.44
GOOGL,2023-04-25,16.0,1.07,1.17
GOOGL,2023-02-02,16.0,1.2,1.05
GOOGL,2022-10-25,16.0,1.26,1.06
GOOGL,2022-07-26,16.0,1.29,1.21
GOOGL,2022-04-26,16.0,1.28,1.23
GOOGL,2022-02-01,16.0,1.36,1.53
GOOGL,2021-10-26,16.0,1.16,1.4
GOOGL,2021-07-27,16.0,0.96,1.36
GOOGL,2021-04-27,16.0,0.78,1.31
GOOGL,2021-02-02,16.0,0.79,1.12
GOOGL,2020-10-29,16.0,0.56,0.82
GOOGL,2020-07-30,16.0,0.41,0.51
GOOGL,2020-04-28,16.0,0.54,0.49
